Sent Date,Section,Subject,Title,Description,Submission Date
2026-06-17,I-C,ENVIRONMENTAL SCIENCE,Ch 2: My Body (Workbook),"Jai Sri Gurudev! Namaste, Chapter 2: My Body. Workbook: Complete pg no 8, 9 & 10. Submission Date: 19/06/2026",2026-06-19
2026-06-17,I-D,ENVIRONMENTAL SCIENCE,Ch 2: My Body (Workbook),"Jai Sri Gurudev! Namaste, Chapter 2: My Body. Workbook: Complete pg no 8, 9 & 10. Submission Date: 19/06/2026",2026-06-19
2026-06-17,I-G,ENVIRONMENTAL SCIENCE,Ch 2: My Body (Workbook),"Jai Sri Gurudev! Namaste, Chapter 2: My Body. Workbook: Complete pg no 8, 9 & 10. Submission Date: 19/06/2026",2026-06-19
2026-06-17,I-A,ENVIRONMENTAL SCIENCE,Chapter 2. My Body,Jai Shri Gurudev Namaste Dear Parents and Students. Today's EVS Textbook. Read the chapter 2. My Body Pg 18 and 19.,
2026-06-17,I-B,ENVIRONMENTAL SCIENCE,Chapter 2. My Body,Jai Shri Gurudev Namaste Dear Parents and Students. Today's EVS Textbook. Read the chapter 2. My Body Pg 18 and 19.,
2026-06-17,I-K,ENVIRONMENTAL SCIENCE,Chapter 2. My Body,Jai Shri Gurudev Namaste Dear Parents and Students. Today's EVS Textbook. Read the chapter 2. My Body Pg 18 and 19.,
2026-06-17,I-A,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-B,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-C,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-D,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-E,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-F,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-G,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-H,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-I,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-J,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-K,COMPUTER SCIENCE,Module 3 - Parts of a Computer,"List of keywords to write and practice: 1. Hardware 2. Software 3. Monitor 4. Keyboard 5. Mouse 6. Speaker 7. Printer 8. Tux Paint 9. Calculator 10. Video Player",2026-06-18
2026-06-17,I-D,ENGLISH,English HW,Page 7 and 8 in cursive books,
2026-06-17,I-J,ENGLISH,English HW,Page 7 and 8 in cursive books,
2026-06-17,I-K,ENGLISH,English HW,Page 7 and 8 in cursive books,
2026-06-17,I-A,ENGLISH,Cursive writing,Page no. 6 and 7 in Cursive writing book. Submit the book tomorrow.,
2026-06-17,I-B,ENGLISH,Cursive writing,Page no. 6 and 7 in Cursive writing book. Submit the book tomorrow.,
2026-06-17,I-C,ENGLISH,Cursive writing,Page no. 6 and 7 in Cursive writing book. Submit the book tomorrow.,
2026-06-17,I-F,ENGLISH,Cursive writing,Page no. 6 and 7 in Cursive writing book. Submit the book tomorrow.,
2026-06-17,I-G,ENGLISH,Cursive writing,Page no. 6 and 7 in Cursive writing book. Submit the book tomorrow.,
